obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2338.549""","=""0.005""","=""2338.55051""","=""0.00012""","=""240""","=""""",,"=""61974.931""","=""104736.462""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d6.(3P2).4d""","=""2P""","=""1/2""",,"=""""","=""L18349c143""",
"=""2338.67610""","=""0.00018""","=""2338.67575""","=""0.00011""","=""4000""","=""5.2e+07""",D+,"=""64087.408""","=""106846.649""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.72295""","=""0.00011""","=""2338.72326""","=""0.00010""","=""400000""","=""1.13e+08""",B+,"=""862.6118""","=""43620.9842""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""",,"=""T6610""","=""L18349c139""",
"=""2338.8649""","=""0.0002""","=""2338.86462""","=""0.00010""","=""4000""","=""1.5e+07""",D+,"=""64040.891""","=""106796.679""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.921""","=""0.005""","=""2338.91862""","=""0.00016""","=""1300d?""","=""2.8e+06""",D+,"=""30388.5451""","=""73143.346""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2339.2609""","=""0.0009""","=""2339.26096""","=""0.00010""","=""3400""","=""5.6e+06""",C,"=""42114.8380""","=""84863.382""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""","=""3d6.(5D).4d""","=""e 4G""","=""11/2""",,"=""T7186""","=""L18349c139""",
"=""2339.5543""","=""0.0008""","=""2339.55441""","=""0.00010""","=""1300""","=""5.0e+06""",D+,"=""62322.445""","=""105065.627""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(5D).5d""","=""6G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2339.6364""","=""0.0008""","=""2339.63624""","=""0.00010""","=""1300""","=""2.5e+07""",D+,"=""62065.528""","=""104807.215""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3H).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.12464""","=""0.00019""","=""2340.12467""","=""0.00012""","=""20000""","=""1.2e+07""",D+,"=""18360.6399""","=""61093.406""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.3765""","=""0.0004""","=""2340.37649""","=""0.00011""","=""800""","=""1.8e+06""",D+,"=""61587.205""","=""104315.373""","=""3d6.(3H).4p""","=""z 4I*""","=""11/2""","=""3d6.(3H).4d""","=""2K""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.4767""","=""0.0003""","=""2340.47690""","=""0.00010""","=""2800""","=""1.0e+07""",D+,"=""64040.891""","=""106767.226""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.59934""","=""0.00013""","=""2340.59950""","=""0.00010""","=""11000""","=""2.25e+08""",B+,"=""62083.118""","=""104807.215""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""","=""3d6.(3H).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.7606""","=""0.0020""","=""2340.76118""","=""0.00010""","=""500""","=""8.e+06""",D+,"=""61093.406""","=""103814.552""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2340.9836""","=""0.0011""","=""2340.98299""","=""0.00012""","=""900""","=""8.e+05""",D,"=""61347.566""","=""104064.664""","=""3d6.(3H).4p""","=""z 4I*""","=""15/2""","=""3d6.(3H).4d""","=""4I""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.0384""","=""0.0010""","=""2341.03835""","=""0.00010""","=""1400""","=""""",,"=""60402.333""","=""103118.421""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""2341.0725""","=""0.0009""","=""2341.0728""","=""0.0004""","=""3400""","=""5.9e+07""",D+,"=""36126.412""","=""78841.872""","=""3d6.(3D).4s""","=""b 2D""","=""3/2""","=""3d6.(1D2).4p""","=""w 2P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.17960""","=""0.00018""","=""2341.17971""","=""0.00010""","=""21000""","=""1.6e+07""",D+,"=""21711.8963""","=""64425.405""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.3125""","=""0.0004""","=""2341.31218""","=""0.00012""","=""1700""","=""5.8e+07""",D+,"=""65931.358""","=""108642.450""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3G).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.3509""","=""0.0008""","=""2341.35034""","=""0.00010""","=""1000""","=""1.1e+07""",D+,"=""62158.126""","=""104868.522""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.381""","=""0.005""","=""2341.37539""","=""0.00012""","=""210d?""","=""2.0e+07""",D+,"=""61332.753""","=""104042.692""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2341.4118""","=""0.0008""","=""2341.41201""","=""0.00010""","=""1100""","=""4.3e+06""",D+,"=""64087.408""","=""106796.679""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.6600""","=""0.0004""","=""2341.66049""","=""0.00010""","=""9000""","=""5.3e+06""",D+,"=""21581.6151""","=""64286.354""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.750""","=""0.005""","=""2341.75119""","=""0.00013""","=""600""","=""6.e+05""",D,"=""30388.5451""","=""73091.630""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c142""",
"=""2341.7803""","=""0.0004""","=""2341.78003""","=""0.00012""","=""2600""","=""7.0e+06""",D+,"=""62125.604""","=""104828.163""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d6.(5D).5d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.8315""","=""0.0010""","=""2341.83219""","=""0.00010""","=""1000""","=""1.5e+06""",D,"=""62171.624""","=""104873.232""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d6.(5D).5d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2341.89205""","=""0.00012""","=""2341.89207""","=""0.00010""","=""20000""","=""3.18e+08""",B+,"=""60402.333""","=""103102.849""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(3P2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.0919""","=""0.0007""","=""2342.09052""","=""0.00010""","=""600""","=""""",,"=""62171.624""","=""104868.522""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""""","=""L18349c139""",
"=""2342.16975""","=""0.00011""","=""2342.16973""","=""0.00010""","=""12000""","=""2.70e+08""",B+,"=""65696.053""","=""108391.507""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3G).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.263""","=""0.005""","=""2342.26958""","=""0.00010""","=""210d?""","=""""",,"=""60989.444""","=""103683.078""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(5D).5d""","=""4F""","=""9/2""",,"=""""","=""L18349c142""",
"=""2342.36579""","=""0.00013""","=""2342.36575""","=""0.00010""","=""7000""","=""1.81e+08""",B+,"=""65696.053""","=""108387.934""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3G).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.4932""","=""0.0007""","=""2342.49360""","=""0.00011""","=""1200""","=""3.9e+07""",D+,"=""62689.874""","=""105379.425""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""","=""3d6.(3F2).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.5199""","=""0.0004""","=""2342.51994""","=""0.00012""","=""2500""","=""9.e+07""",D+,"=""62829.071""","=""105518.142""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""","=""3d6.(3F2).4d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.5551""","=""0.0008""","=""2342.55478""","=""0.00011""","=""900""","=""5.9e+06""",D+,"=""62151.554""","=""104839.990""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2342.9576""","=""0.0004""","=""2342.95775""","=""0.00012""","=""10000""","=""8.e+06""",D+,"=""18360.6399""","=""61041.734""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2343.0261""","=""0.0002""","=""2343.02566""","=""0.00011""","=""5000bl(Fe II)*""","=""1.37e+08""",C+,"=""61512.630""","=""104192.487""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""","=""3d6.(3H).4d""","=""4I""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""2343.0261""","=""0.0002""","=""2343.02780""","=""0.00010""","=""5000bl(Fe II)*""","=""1.6e+07""",D+,"=""64087.408""","=""106767.226""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2343.0936""","=""0.0005""","=""2343.09368""","=""0.00011""","=""600""","=""""",,"=""72352.046""","=""115030.664""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""2343.4876""","=""0.0007""","=""2343.48815""","=""0.00011""","=""1400""","=""3.1e+07""",D+,"=""62322.445""","=""104993.879""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2343.60571""","=""0.00015""","=""2343.60585""","=""0.00012""","=""5000""","=""1.01e+08""",C+,"=""65696.053""","=""108365.344""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3G).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2344.02520""","=""0.00012""","=""2344.02533""","=""0.00010""","=""19000""","=""4.5e+08""",B+,"=""61512.630""","=""104174.285""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""","=""3d6.(3H).4d""","=""4I""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2344.21273""","=""0.00012""","=""2344.21274""","=""0.00010""","=""1000000""","=""1.73e+08""",A+,"=""0.0000""","=""42658.2444""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""",,"=""T6610""","=""L18349c139""",
"=""2344.569""","=""0.005""","=""2344.57183""","=""0.00016""","=""180""","=""4.2e+06""",D+,"=""67000.530""","=""109652.241""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""","=""3d6.(3D).5s""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2344.67880""","=""0.00011""","=""2344.67880""","=""0.00010""","=""190000""","=""3.13e+07""",B+,"=""2430.1369""","=""45079.9019""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""T6610""","=""L18349c139""",
"=""2344.7170""","=""0.0007""","=""2344.71597""","=""0.00012""","=""1300""","=""2.0e+07""",D+,"=""62158.126""","=""104807.215""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3H).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2344.87279""","=""0.00011""","=""2344.87266""","=""0.00011""","=""10000""","=""2.73e+08""",B+,"=""65931.358""","=""108577.597""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3G).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2344.99946""","=""0.00011""","=""2344.99939""","=""0.00010""","=""340000""","=""9.27e+07""",B+,"=""977.0498""","=""43620.9842""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""",,"=""T7958,T6610,T7589""","=""L18349c139""",
"=""2345.1834""","=""0.0006""","=""2345.18122""","=""0.00010""","=""1900bl*""","=""3.4e+07""",D+,"=""60956.781""","=""103597.409""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3P2).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2345.1834""","=""0.0006""","=""2345.18573""","=""0.00010""","=""1900bl*""","=""8.e+06""",D+,"=""64425.405""","=""107065.951""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(5D).5d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""2345.32093""","=""0.00012""","=""2345.32098""","=""0.00010""","=""14000""","=""1.12e+08""",C+,"=""64286.354""","=""106924.441""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2345.516""","=""0.005""","=""2345.51387""","=""0.00011""","=""500""","=""""",,"=""20830.5534""","=""63465.134""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2345.6724""","=""0.0008""","=""2345.67169""","=""0.00011""","=""400""","=""""",,"=""71964.750""","=""114596.462""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""","=""3d6.(5D).6d""","=""114596""","=""3/2""",,"=""""","=""L18349c139""",
"=""2345.70246""","=""0.00011""","=""2345.70195""","=""0.00012""","=""10000bl(Fe II)*""","=""3.2e+07""",D+,"=""62829.071""","=""105460.233""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""","=""3d6.(3F2).4d""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""2345.70246""","=""0.00011""","=""2345.70250""","=""0.00017""","=""10000bl(Fe II)*""","=""3.34e+08""",B+,"=""66078.272""","=""108709.424""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""","=""3d6.(3G).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2345.8968""","=""0.0011""","=""2345.89582""","=""0.00012""","=""4000""","=""4.5e+06""",D+,"=""30388.5451""","=""73016.184""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2346.05531""","=""0.00011""","=""2346.05527""","=""0.00010""","=""100000""","=""7.3e+07""",C+,"=""21251.5833""","=""63876.325""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2346.0823""","=""0.0002""","=""2346.08245""","=""0.00017""","=""2800""","=""5.8e+07""",D+,"=""64806.494""","=""107430.742""","=""3d6.(3P2).4p""","=""z 2P*""","=""1/2""","=""3d6.(3F2).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2346.6457""","=""0.0003""","=""2346.64560""","=""0.00010""","=""2500""","=""2.0e+07""",D+,"=""64286.354""","=""106900.373""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2346.6765""","=""0.0005""","=""2346.67676""","=""0.00011""","=""1700""","=""4.2e+07""",D+,"=""62125.604""","=""104739.057""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d6.(3F2).4d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2346.9877""","=""0.0004""","=""2346.98728""","=""0.00017""","=""8000bl(Fe II)*""","=""1.4e+07""",D+,"=""31999.049""","=""74606.864""","=""3d7""","=""b 2F""","=""7/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2346.9877""","=""0.0004""","=""2346.98764""","=""0.00010""","=""8000bl(Fe II)*""","=""1.3e+07""",D+,"=""42237.0575""","=""84844.866""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2347.0129""","=""0.0005""","=""2347.01383""","=""0.00011""","=""1600""","=""4.3e+07""",C+,"=""62158.126""","=""104765.459""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3H).4d""","=""2I""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.07269""","=""0.00011""","=""2347.07267""","=""0.00011""","=""13000""","=""3.20e+08""",B+,"=""65931.358""","=""108537.623""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.2298""","=""0.0010""","=""2347.22937""","=""0.00010""","=""4000""","=""1.8e+07""",D+,"=""42334.8444""","=""84938.265""","=""3d6.(5D).4p""","=""z 6F*""","=""5/2""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.33520""","=""0.00011""","=""2347.33524""","=""0.00011""","=""15000""","=""3.59e+08""",B+,"=""65580.065""","=""108181.564""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3G).4d""","=""4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.39975""","=""0.00011""","=""2347.39982""","=""0.00010""","=""19000""","=""3.40e+08""",B+,"=""60402.333""","=""103002.660""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(3P2).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.4894""","=""0.0008""","=""2347.49030""","=""0.00010""","=""700""","=""""",,"=""62689.874""","=""105288.559""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""","=""3d6.(5D).5d""","=""6G""","=""3/2""",,"=""""","=""L18349c139""",
"=""2347.601""","=""0.003""","=""2347.60118""","=""0.00017""","=""220""","=""3.1e+06""",D,"=""64834.069""","=""107430.742""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3F2).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.6441""","=""0.0009""","=""2347.64318""","=""0.00010""","=""3400""","=""5.8e+06""",D+,"=""42114.8380""","=""84710.749""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.6759""","=""0.0009""","=""2347.67636""","=""0.00010""","=""1500""","=""1.0e+07""",D+,"=""61512.630""","=""104107.939""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""","=""3d6.(3P2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.747""","=""0.005""","=""2347.74261""","=""0.00010""","=""200d?""","=""1.3e+06""",D,"=""62322.445""","=""104916.552""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c142""",
"=""2347.8517""","=""0.0004""","=""2347.85159""","=""0.00010""","=""2900""","=""3.7e+07""",C+,"=""61527.610""","=""104119.740""","=""3d6.(3H).4p""","=""z 4I*""","=""13/2""","=""3d6.(3H).4d""","=""2K""","=""15/2""",,"=""T6892c83""","=""L18349c139""",
"=""2347.930""","=""0.005""","=""2347.93031""","=""0.00022""","=""400d?""","=""""",,"=""48039.109""","=""90629.811""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3P1).4p""","=""4S*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2348.1294""","=""0.0006""","=""2348.13000""","=""0.00011""","=""1800""","=""5.6e+07""",C+,"=""61587.205""","=""104174.285""","=""3d6.(3H).4p""","=""z 4I*""","=""11/2""","=""3d6.(3H).4d""","=""4I""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2348.1852""","=""0.0006""","=""2348.18574""","=""0.00012""","=""1100""","=""3.0e+07""",D+,"=""66463.542""","=""109049.611""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3G).4d""","=""2I""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2348.4416""","=""0.0006""","=""2348.44393""","=""0.00011""","=""1600""","=""""",,"=""62049.042""","=""104630.429""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d6.(5D).5d""","=""6F""","=""3/2""",,"=""""","=""L18349c148""",
"=""2348.4975""","=""0.0002""","=""2348.49749""","=""0.00010""","=""4000""","=""2.8e+07""",D+,"=""64286.354""","=""106866.770""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2348.5525""","=""0.0017""","=""2348.55149""","=""0.00010""","=""500""","=""3.6e+06""",D+,"=""62945.045""","=""105524.482""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d6.(3F2).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2348.83456""","=""0.00011""","=""2348.83457""","=""0.00010""","=""500000""","=""6.50e+07""",B+,"=""1872.5998""","=""44446.9051""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T7958,T6610,T7589""","=""L18349c139""",
"=""2348.86484""","=""0.00017""","=""2348.86526""","=""0.00011""","=""4000""","=""8.5e+07""",C+,"=""64834.069""","=""107407.818""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3F2).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2349.02122""","=""0.00011""","=""2349.02115""","=""0.00010""","=""500000""","=""1.15e+08""",C+,"=""667.6829""","=""43238.6066""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""",,"=""T7351""","=""L18349c139""",
"=""2349.182""","=""0.005""","=""2349.18226""","=""0.00011""","=""140""","=""""",,"=""72238.564""","=""114806.568""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c143""",
"=""2349.3938""","=""0.0003""","=""2349.39343""","=""0.00012""","=""2100""","=""5.4e+07""",D+,"=""66078.272""","=""108642.450""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""","=""3d6.(3G).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2349.639""","=""0.005""","=""2349.63862""","=""0.00010""","=""400""","=""2.1e+06""",D,"=""41968.0698""","=""84527.806""","=""3d6.(5D).4p""","=""z 6F*""","=""11/2""","=""3d6.(5D).4d""","=""e 6G""","=""9/2""",,"=""T6892c83""","=""L18349c142""",
"=""2349.98810""","=""0.00011""","=""2349.98804""","=""0.00012""","=""14000bl(Fe II)*""","=""3.30e+08""",B+,"=""65580.065""","=""108133.473""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3G).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c148""",
"=""2349.98810""","=""0.00011""","=""2349.98837""","=""0.00022""","=""14000bl(Fe II)*""","=""""",,"=""72043.060""","=""114596.462""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""","=""3d6.(5D).6d""","=""114596""","=""3/2""",,"=""""","=""L18349c148""",
"=""2350.050""","=""0.005""","=""2350.05332""","=""0.00012""","=""220""","=""""",,"=""63948.803""","=""106501.029""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d5.4s.(7S).4d""","=""6D""","=""9/2""",,"=""""","=""L18349c143""",
"=""2350.1314""","=""0.0010""","=""2350.13280""","=""0.00010""","=""700""","=""1.1e+06""",D,"=""62322.445""","=""104873.232""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(5D).5d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2350.239""","=""0.005""","=""2350.23476""","=""0.00010""","=""190d,bl(Fe II)?*""","=""1.0e+07""",D+,"=""62689.874""","=""105238.815""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""","=""3d6.(3P2).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""2350.239""","=""0.005""","=""2350.24105""","=""0.00011""","=""190d,bl(Fe II)?*""","=""""",,"=""62662.252""","=""105211.079""","=""3d6.(3H).4p""","=""z 2I*""","=""11/2""","=""3d6.(5D).5d""","=""4G""","=""9/2""",,"=""""","=""L18349c142""",
